model,train-dataset,test-settings,test-hash,test-size,n_samples,matches,match_percentage
pcfg,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,7500000,127254,29.49%
pcfg,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,10000000,131324,30.43%
pcfg,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,25000000,144229,33.42%
pcfg,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,50000000,153639,35.6%
pcfg,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,75000000,158916,36.83%
pcfg,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,100000000,162761,37.72%
pcfg,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,250000000,174481,40.43%
pcfg,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,500000000,183254,42.47%
pcfg,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,1000000,155064,9.8%
pcfg,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,2500000,210432,13.3%
pcfg,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,5000000,245083,15.49%
pcfg,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,7500000,265232,16.77%
pcfg,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,10000000,282606,17.87%
pcfg,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,25000000,343312,21.71%
pcfg,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,50000000,388945,24.59%
pcfg,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,75000000,413712,26.16%
pcfg,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,100000000,431773,27.3%
pcfg,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,250000000,484098,30.61%
pcfg,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,500000000,528213,33.4%
pcfg,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,1000000,45926,4.8%
pcfg,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,2500000,73377,7.67%
pcfg,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,5000000,99903,10.44%
pcfg,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,7500000,114217,11.93%
pcfg,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,10000000,126102,13.18%
pcfg,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,25000000,156040,16.3%
pcfg,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,50000000,184833,19.31%
pcfg,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,75000000,201561,21.06%
pcfg,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,100000000,214913,22.46%
pcfg,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,250000000,253585,26.5%
pcfg,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,500000000,277677,29.02%
